dataset,model,tier,rmse,mae,r2,train_time_sec,predict_time_sec,peak_mem_mb,refresh_count,condition_proxy,stability_rmse_var,stability_time_var,stability_cond_var
CaliforniaHousing,K-NoFreeze,Small,0.557285 ± 0.016749,0.403303 ± 0.009127,0.685895 ± 0.016676,1.6342 ± 0.0945,0.040800 ± 0.000685,1181.74 ± 0.00,1.0 ± 0.0,7.64e+06 ± 4.51e+05,0.016749104187989035,0.09445061739358158,451489.6440578744
Kin8nm,Kernos,Small,0.603371 ± 0.026944,0.476188 ± 0.022510,0.638110 ± 0.019407,1.2303 ± 0.1050,0.012093 ± 0.000186,193.74 ± 0.00,1.0 ± 0.0,8.66e+05 ± 4.49e+05,0.02694436994798282,0.10504967438535959,449385.05390594434
Kin8nm,Ridge,Small,0.763951 ± 0.015889,0.614925 ± 0.015128,0.419752 ± 0.005327,0.0001 ± 0.0000,0.000002 ± 0.000000,0.01 ± 0.00,0.0 ± 0.0,nan ± nan,0.015888577235913286,3.805512421667788e-06,nan
Kin8nm,Nystrom,Small,0.873830 ± 0.016292,0.701274 ± 0.017801,0.240714 ± 0.011895,0.0364 ± 0.0003,0.003429 ± 0.000034,95.33 ± 0.00,0.0 ± 0.0,nan ± nan,0.01629227946978419,0.0003189400913323059,nan
Kin8nm,RFF,Small,0.921865 ± 0.036285,0.731514 ± 0.043561,0.155092 ± 0.040246,0.0362 ± 0.0001,0.005396 ± 0.000085,67.23 ± 0.00,0.0 ± 0.0,nan ± nan,0.0362848684346328,7.059451496846628e-05,nan
Kin8nm,K-NoRefresh,Small,0.542530 ± 0.033628,0.425647 ± 0.028165,0.707173 ± 0.026717,1.2853 ± 0.0750,0.012279 ± 0.000090,193.74 ± 0.00,0.0 ± 0.0,9.26e+05 ± 1.57e+05,0.03362801389223786,0.07502842817334907,156610.65884096944
Kin8nm,K-NoHysteresis,Small,0.603371 ± 0.026944,0.476188 ± 0.022510,0.638110 ± 0.019407,1.1590 ± 0.0721,0.012253 ± 0.000310,193.74 ± 0.00,1.0 ± 0.0,8.66e+05 ± 4.49e+05,0.02694436994798282,0.07207348942315504,449385.05390594434
Kin8nm,K-NoCooldown,Small,0.603371 ± 0.026944,0.476188 ± 0.022510,0.638110 ± 0.019407,1.1061 ± 0.0889,0.012036 ± 0.000105,193.74 ± 0.00,1.0 ± 0.0,8.66e+05 ± 4.49e+05,0.02694436994798282,0.08892884473271145,449385.05390594434
Kin8nm,K-NoResidAnchors,Small,0.592650 ± 0.034550,0.468132 ± 0.029473,0.650703 ± 0.028384,1.0252 ± 0.1173,0.012215 ± 0.000202,193.74 ± 0.00,1.0 ± 0.0,4.46e+05 ± 2.52e+05,0.03455041457141743,0.11726646024419572,251543.6868383705
Kin8nm,K-NoOrthog,Small,0.601485 ± 0.030567,0.473977 ± 0.025702,0.640318 ± 0.023692,0.9528 ± 0.0193,0.008894 ± 0.000142,159.45 ± 0.00,1.0 ± 0.0,8.58e+05 ± 6.97e+05,0.030567340747713678,0.019251463516013662,696824.7644127546
Kin8nm,K-NoDivPenalty,Small,0.603371 ± 0.026944,0.476188 ± 0.022510,0.638110 ± 0.019407,1.2398 ± 0.1562,0.012131 ± 0.000046,193.74 ± 0.00,1.0 ± 0.0,8.66e+05 ± 4.49e+05,0.02694436994798282,0.15620371410476,449385.05390594434
Kin8nm,K-NoFreeze,Small,0.603371 ± 0.026944,0.476188 ± 0.022510,0.638110 ± 0.019407,1.2287 ± 0.1096,0.012055 ± 0.000113,193.74 ± 0.00,1.0 ± 0.0,8.66e+05 ± 4.49e+05,0.02694436994798282,0.1096201854292198,449385.05390594434
YearPredictionMSD,Kernos,Small,0.340978 ± 0.025466,0.214486 ± 0.002159,0.884506 ± 0.005710,1.0590 ± 0.0282,0.011985 ± 0.000103,193.91 ± 0.00,1.0 ± 0.0,1.93e+06 ± 1.12e+06,0.025466045771402383,0.0282385991623953,1118959.1160115032
YearPredictionMSD,Ridge,Small,0.541802 ± 0.039155,0.333753 ± 0.008925,0.708530 ± 0.008168,0.0001 ± 0.0000,0.000003 ± 0.000000,0.01 ± 0.00,0.0 ± 0.0,nan ± nan,0.039155404382363784,2.0348746580975456e-06,nan
YearPredictionMSD,Nystrom,Small,0.786743 ± 0.075784,0.335386 ± 0.027366,0.382240 ± 0.087448,0.0428 ± 0.0009,0.005079 ± 0.000204,140.13 ± 0.00,0.0 ± 0.0,nan ± nan,0.07578422078541307,0.0009089932708559382,nan
